model,task,method,tier,n,accuracy,abstain_rate,certain_error_rate,calibration_ece,mean_forwards,mean_wall_s,hallucination_on_neg
q4b,existence,mib,neg_low,97,1.0,0.0,0.0,,,,0.0
q4b,existence,mib,pos_low,97,0.9072,0.0,0.0928,,,,
q4b,existence,mib,neg_both,194,0.9948,0.0,0.0052,,,,0.0052
q4b,existence,mib,pos_both,194,0.9278,0.0,0.0722,,,,
q4b,existence,lcd,high,194,0.9691,0.0,0.0309,,,,
q4b,existence,lcd,low,194,0.9433,0.0,0.0567,,,,
q4b,existence,lcd,neg_high,97,1.0,0.0,0.0,,,,0.0
q4b,existence,lcd,pos_high,97,0.9381,0.0,0.0619,,,,
q4b,existence,lcd,neg_low,97,1.0,0.0,0.0,,,,0.0
q4b,existence,lcd,pos_low,97,0.8866,0.0,0.1134,,,,
q4b,existence,lcd,neg_both,194,1.0,0.0,0.0,,,,0.0
q4b,existence,lcd,pos_both,194,0.9124,0.0,0.0876,,,,
q9b,naming,direct,high,97,0.3918,0.0,0.6082,0.307,4.7,0.411,
q9b,naming,direct,low,97,0.4639,0.0103,0.5258,0.2014,4.9,0.419,
q9b,naming,vcd,high,97,0.4021,0.0,0.5979,0.3026,9.6,0.834,
q9b,naming,vcd,low,97,0.4227,0.0,0.5773,0.2128,9.5,0.825,
q9b,naming,mib,high,97,0.4124,0.0,0.5876,0.2908,9.9,0.85,
q9b,naming,mib,low,97,0.4227,0.0,0.5773,0.2179,10.3,0.875,
q9b,naming,lcd,high,97,0.3505,0.0,0.6495,0.3811,5.0,0.863,
q9b,naming,lcd,low,97,0.3711,0.0,0.6289,0.3881,5.2,0.875,
q9b,existence,direct,high,194,0.9691,0.0,0.0309,,,,
q9b,existence,direct,low,194,0.9742,0.0,0.0258,,,,
q9b,existence,direct,neg_high,97,0.9897,0.0,0.0103,,,,0.0103
q9b,existence,direct,pos_high,97,0.9485,0.0,0.0515,,,,
q9b,existence,direct,neg_low,97,0.9897,0.0,0.0103,,,,0.0103
q9b,existence,direct,pos_low,97,0.9588,0.0,0.0412,,,,
q9b,existence,direct,neg_both,194,0.9897,0.0,0.0103,,,,0.0103
q9b,existence,direct,pos_both,194,0.9536,0.0,0.0464,,,,
q9b,existence,vcd,high,194,0.9742,0.0,0.0258,,,,
q9b,existence,vcd,low,194,0.9794,0.0,0.0206,,,,
q9b,existence,vcd,neg_high,97,0.9588,0.0,0.0412,,,,0.0412
q9b,existence,vcd,pos_high,97,0.9897,0.0,0.0103,,,,
q9b,existence,vcd,neg_low,97,0.9691,0.0,0.0309,,,,0.0309
q9b,existence,vcd,pos_low,97,0.9897,0.0,0.0103,,,,
q9b,existence,vcd,neg_both,194,0.9639,0.0,0.0361,,,,0.0361
q9b,existence,vcd,pos_both,194,0.9897,0.0,0.0103,,,,
q9b,existence,mib,high,194,0.9639,0.0,0.0361,,,,
q9b,existence,mib,low,194,0.9639,0.0,0.0361,,,,
q9b,existence,mib,neg_high,97,0.9897,0.0,0.0103,,,,0.0103
q9b,existence,mib,pos_high,97,0.9381,0.0,0.0619,,,,
q9b,existence,mib,neg_low,97,0.9794,0.0,0.0206,,,,0.0206
q9b,existence,mib,pos_low,97,0.9485,0.0,0.0515,,,,
q9b,existence,mib,neg_both,194,0.9845,0.0,0.0155,,,,0.0155
q9b,existence,mib,pos_both,194,0.9433,0.0,0.0567,,,,
q9b,existence,lcd,high,194,0.5,0.0,0.5,,,,
q9b,existence,lcd,low,194,0.5,0.0,0.5,,,,
q9b,existence,lcd,neg_high,97,1.0,0.0,0.0,,,,0.0
q9b,existence,lcd,pos_high,97,0.0,0.0,1.0,,,,
q9b,existence,lcd,neg_low,97,1.0,0.0,0.0,,,,0.0
q9b,existence,lcd,pos_low,97,0.0,0.0,1.0,,,,
q9b,existence,lcd,neg_both,194,1.0,0.0,0.0,,,,0.0
q9b,existence,lcd,pos_both,194,0.0,0.0,1.0,,,,
